id,level,task_type,domain,question,serialized_table,prompt,answer,evidence_json,operation,num_evidence_cells,table_json
A-L2-0026,2,same_row_difference,quarterly_sales,How far apart are the Q1 sales and Q2 sales values for Oakridge? Return the absolute difference.,"| Q2 sales | Retail sales | Region | Q4 sales | Q1 sales | Q3 sales | Online sales |
| --- | --- | --- | --- | --- | --- | --- |
| 240.9 kUSD | 334.4 kUSD | Westhaven | 427.6 kUSD | 304.9 kUSD | 128.6 kUSD | 98.6 kUSD |
| 140.0 kUSD | 203.7 kUSD | Pinehurst | 139.1 kUSD | 451.1 kUSD | 99.8 kUSD | 71.7 kUSD |
| 440.1 kUSD | 246.3 kUSD | Riverton | 290.1 kUSD | 212.5 kUSD | 215.4 kUSD | 251.2 kUSD |
| 172.9 kUSD | 257.2 kUSD | Hillcrest | 86.1 kUSD | 323.7 kUSD | 205.8 kUSD | 84.3 kUSD |
| 178.4 kUSD | 167.3 kUSD | Oakridge | 126.0 kUSD | 283.5 kUSD | 410.2 kUSD | 292.5 kUSD |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Q2 sales | Retail sales | Region | Q4 sales | Q1 sales | Q3 sales | Online sales |
| --- | --- | --- | --- | --- | --- | --- |
| 240.9 kUSD | 334.4 kUSD | Westhaven | 427.6 kUSD | 304.9 kUSD | 128.6 kUSD | 98.6 kUSD |
| 140.0 kUSD | 203.7 kUSD | Pinehurst | 139.1 kUSD | 451.1 kUSD | 99.8 kUSD | 71.7 kUSD |
| 440.1 kUSD | 246.3 kUSD | Riverton | 290.1 kUSD | 212.5 kUSD | 215.4 kUSD | 251.2 kUSD |
| 172.9 kUSD | 257.2 kUSD | Hillcrest | 86.1 kUSD | 323.7 kUSD | 205.8 kUSD | 84.3 kUSD |
| 178.4 kUSD | 167.3 kUSD | Oakridge | 126.0 kUSD | 283.5 kUSD | 410.2 kUSD | 292.5 kUSD |

Question: How far apart are the Q1 sales and Q2 sales values for Oakridge? Return the absolute difference.",105.1 kUSD,"[{""row_index"": 4, ""column_index"": 4, ""row_identifier_column"": ""Region"", ""row_identifier_value"": ""Oakridge"", ""column"": ""Q1 sales"", ""raw_value"": 283.5, ""display_value"": ""283.5 kUSD""}, {""row_index"": 4, ""column_index"": 0, ""row_identifier_column"": ""Region"", ""row_identifier_value"": ""Oakridge"", ""column"": ""Q2 sales"", ""raw_value"": 178.4, ""display_value"": ""178.4 kUSD""}]",absolute_difference,2,"{""headers"": [""Q2 sales"", ""Retail sales"", ""Region"", ""Q4 sales"", ""Q1 sales"", ""Q3 sales"", ""Online sales""], ""rows"": [[""240.9 kUSD"", ""334.4 kUSD"", ""Westhaven"", ""427.6 kUSD"", ""304.9 kUSD"", ""128.6 kUSD"", ""98.6 kUSD""], [""140.0 kUSD"", ""203.7 kUSD"", ""Pinehurst"", ""139.1 kUSD"", ""451.1 kUSD"", ""99.8 kUSD"", ""71.7 kUSD""], [""440.1 kUSD"", ""246.3 kUSD"", ""Riverton"", ""290.1 kUSD"", ""212.5 kUSD"", ""215.4 kUSD"", ""251.2 kUSD""], [""172.9 kUSD"", ""257.2 kUSD"", ""Hillcrest"", ""86.1 kUSD"", ""323.7 kUSD"", ""205.8 kUSD"", ""84.3 kUSD""], [""178.4 kUSD"", ""167.3 kUSD"", ""Oakridge"", ""126.0 kUSD"", ""283.5 kUSD"", ""410.2 kUSD"", ""292.5 kUSD""]]}"
A-L2-0027,2,same_row_sum,basketball_game,"According to the table, what is the combined value of Paint points and Bench points for Wolves?","| Second-half points | Free-throw points | First-half points | Paint points | Bench points | Team |
| --- | --- | --- | --- | --- | --- |
| 61 points | 11 points | 63 points | 23 points | 28 points | Ravens |
| 42 points | 18 points | 31 points | 28 points | 32 points | Panthers |
| 30 points | 6 points | 62 points | 53 points | 26 points | Cyclones |
| 46 points | 5 points | 20 points | 42 points | 38 points | Wolves |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Second-half points | Free-throw points | First-half points | Paint points | Bench points | Team |
| --- | --- | --- | --- | --- | --- |
| 61 points | 11 points | 63 points | 23 points | 28 points | Ravens |
| 42 points | 18 points | 31 points | 28 points | 32 points | Panthers |
| 30 points | 6 points | 62 points | 53 points | 26 points | Cyclones |
| 46 points | 5 points | 20 points | 42 points | 38 points | Wolves |

Question: According to the table, what is the combined value of Paint points and Bench points for Wolves?",80 points,"[{""row_index"": 3, ""column_index"": 3, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Wolves"", ""column"": ""Paint points"", ""raw_value"": 42.0, ""display_value"": ""42 points""}, {""row_index"": 3, ""column_index"": 4, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Wolves"", ""column"": ""Bench points"", ""raw_value"": 38.0, ""display_value"": ""38 points""}]",add,2,"{""headers"": [""Second-half points"", ""Free-throw points"", ""First-half points"", ""Paint points"", ""Bench points"", ""Team""], ""rows"": [[""61 points"", ""11 points"", ""63 points"", ""23 points"", ""28 points"", ""Ravens""], [""42 points"", ""18 points"", ""31 points"", ""28 points"", ""32 points"", ""Panthers""], [""30 points"", ""6 points"", ""62 points"", ""53 points"", ""26 points"", ""Cyclones""], [""46 points"", ""5 points"", ""20 points"", ""42 points"", ""38 points"", ""Wolves""]]}"
A-L2-0028,2,cross_row_difference,race_sector_times,What is the absolute difference in Sector 3 time between Lucas and Hana?,"| Sector 2 time | Driver | Pit-lane time | Sector 1 time | Sector 3 time | Penalty time | Stop time |
| --- | --- | --- | --- | --- | --- | --- |
| 22.24 s | Daniel | 14.78 s | 28.57 s | 26.63 s | 9.88 s | 9.20 s |
| 33.12 s | Hana | 25.82 s | 34.69 s | 38.13 s | 1.26 s | 5.61 s |
| 32.28 s | Lena | 30.55 s | 37.62 s | 38.98 s | 8.72 s | 12.14 s |
| 40.89 s | Lucas | 23.00 s | 43.39 s | 43.21 s | 3.61 s | 4.31 s |
| 24.24 s | Yuna | 18.25 s | 36.26 s | 41.95 s | 3.53 s | 2.00 s |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Sector 2 time | Driver | Pit-lane time | Sector 1 time | Sector 3 time | Penalty time | Stop time |
| --- | --- | --- | --- | --- | --- | --- |
| 22.24 s | Daniel | 14.78 s | 28.57 s | 26.63 s | 9.88 s | 9.20 s |
| 33.12 s | Hana | 25.82 s | 34.69 s | 38.13 s | 1.26 s | 5.61 s |
| 32.28 s | Lena | 30.55 s | 37.62 s | 38.98 s | 8.72 s | 12.14 s |
| 40.89 s | Lucas | 23.00 s | 43.39 s | 43.21 s | 3.61 s | 4.31 s |
| 24.24 s | Yuna | 18.25 s | 36.26 s | 41.95 s | 3.53 s | 2.00 s |

Question: What is the absolute difference in Sector 3 time between Lucas and Hana?",5.08 s,"[{""row_index"": 3, ""column_index"": 4, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Lucas"", ""column"": ""Sector 3 time"", ""raw_value"": 43.21, ""display_value"": ""43.21 s""}, {""row_index"": 1, ""column_index"": 4, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Hana"", ""column"": ""Sector 3 time"", ""raw_value"": 38.13, ""display_value"": ""38.13 s""}]",absolute_difference,2,"{""headers"": [""Sector 2 time"", ""Driver"", ""Pit-lane time"", ""Sector 1 time"", ""Sector 3 time"", ""Penalty time"", ""Stop time""], ""rows"": [[""22.24 s"", ""Daniel"", ""14.78 s"", ""28.57 s"", ""26.63 s"", ""9.88 s"", ""9.20 s""], [""33.12 s"", ""Hana"", ""25.82 s"", ""34.69 s"", ""38.13 s"", ""1.26 s"", ""5.61 s""], [""32.28 s"", ""Lena"", ""30.55 s"", ""37.62 s"", ""38.98 s"", ""8.72 s"", ""12.14 s""], [""40.89 s"", ""Lucas"", ""23.00 s"", ""43.39 s"", ""43.21 s"", ""3.61 s"", ""4.31 s""], [""24.24 s"", ""Yuna"", ""18.25 s"", ""36.26 s"", ""41.95 s"", ""3.53 s"", ""2.00 s""]]}"
A-L2-0029,2,cross_row_sum,hiking_route,"According to the table, what do Nora and Chris have in total for Morning distance?","| Ridge distance | Uphill distance | Hiker | Downhill distance | Forest distance | Afternoon distance | Morning distance |
| --- | --- | --- | --- | --- | --- | --- |
| 6.9 km | 9.3 km | Theo | 5.9 km | 2.0 km | 11.5 km | 2.3 km |
| 6.6 km | 6.6 km | Nora | 2.5 km | 10.1 km | 2.7 km | 4.9 km |
| 8.9 km | 11.5 km | Julia | 8.1 km | 14.0 km | 15.3 km | 2.0 km |
| 4.7 km | 11.9 km | Alex | 11.7 km | 1.6 km | 10.9 km | 7.5 km |
| 13.2 km | 11.5 km | Chris | 10.1 km | 11.0 km | 8.7 km | 14.9 km |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Ridge distance | Uphill distance | Hiker | Downhill distance | Forest distance | Afternoon distance | Morning distance |
| --- | --- | --- | --- | --- | --- | --- |
| 6.9 km | 9.3 km | Theo | 5.9 km | 2.0 km | 11.5 km | 2.3 km |
| 6.6 km | 6.6 km | Nora | 2.5 km | 10.1 km | 2.7 km | 4.9 km |
| 8.9 km | 11.5 km | Julia | 8.1 km | 14.0 km | 15.3 km | 2.0 km |
| 4.7 km | 11.9 km | Alex | 11.7 km | 1.6 km | 10.9 km | 7.5 km |
| 13.2 km | 11.5 km | Chris | 10.1 km | 11.0 km | 8.7 km | 14.9 km |

Question: According to the table, what do Nora and Chris have in total for Morning distance?",19.8 km,"[{""row_index"": 1, ""column_index"": 6, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Nora"", ""column"": ""Morning distance"", ""raw_value"": 4.9, ""display_value"": ""4.9 km""}, {""row_index"": 4, ""column_index"": 6, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Chris"", ""column"": ""Morning distance"", ""raw_value"": 14.9, ""display_value"": ""14.9 km""}]",add,2,"{""headers"": [""Ridge distance"", ""Uphill distance"", ""Hiker"", ""Downhill distance"", ""Forest distance"", ""Afternoon distance"", ""Morning distance""], ""rows"": [[""6.9 km"", ""9.3 km"", ""Theo"", ""5.9 km"", ""2.0 km"", ""11.5 km"", ""2.3 km""], [""6.6 km"", ""6.6 km"", ""Nora"", ""2.5 km"", ""10.1 km"", ""2.7 km"", ""4.9 km""], [""8.9 km"", ""11.5 km"", ""Julia"", ""8.1 km"", ""14.0 km"", ""15.3 km"", ""2.0 km""], [""4.7 km"", ""11.9 km"", ""Alex"", ""11.7 km"", ""1.6 km"", ""10.9 km"", ""7.5 km""], [""13.2 km"", ""11.5 km"", ""Chris"", ""10.1 km"", ""11.0 km"", ""8.7 km"", ""14.9 km""]]}"
A-L2-0030,2,same_row_sum,race_sector_times,Add Mina's Sector 1 time and Sector 2 time. What is the total?,"| Sector 1 time | Sector 3 time | Sector 2 time | Driver | Stop time | Pit-lane time | Penalty time |
| --- | --- | --- | --- | --- | --- | --- |
| 36.72 s | 29.19 s | 32.14 s | Leo | 2.62 s | 16.38 s | 0.63 s |
| 33.29 s | 27.28 s | 31.02 s | Mina | 14.25 s | 25.13 s | 3.18 s |
| 39.01 s | 36.06 s | 20.13 s | Hana | 8.34 s | 34.22 s | 1.43 s |
| 36.55 s | 25.60 s | 20.07 s | Lena | 1.80 s | 20.72 s | 4.49 s |
| 33.25 s | 31.41 s | 26.82 s | Ethan | 9.04 s | 14.26 s | 5.34 s |
| 21.49 s | 28.07 s | 37.36 s | Emma | 2.32 s | 28.41 s | 2.73 s |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Sector 1 time | Sector 3 time | Sector 2 time | Driver | Stop time | Pit-lane time | Penalty time |
| --- | --- | --- | --- | --- | --- | --- |
| 36.72 s | 29.19 s | 32.14 s | Leo | 2.62 s | 16.38 s | 0.63 s |
| 33.29 s | 27.28 s | 31.02 s | Mina | 14.25 s | 25.13 s | 3.18 s |
| 39.01 s | 36.06 s | 20.13 s | Hana | 8.34 s | 34.22 s | 1.43 s |
| 36.55 s | 25.60 s | 20.07 s | Lena | 1.80 s | 20.72 s | 4.49 s |
| 33.25 s | 31.41 s | 26.82 s | Ethan | 9.04 s | 14.26 s | 5.34 s |
| 21.49 s | 28.07 s | 37.36 s | Emma | 2.32 s | 28.41 s | 2.73 s |

Question: Add Mina's Sector 1 time and Sector 2 time. What is the total?",64.31 s,"[{""row_index"": 1, ""column_index"": 0, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Mina"", ""column"": ""Sector 1 time"", ""raw_value"": 33.29, ""display_value"": ""33.29 s""}, {""row_index"": 1, ""column_index"": 2, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Mina"", ""column"": ""Sector 2 time"", ""raw_value"": 31.02, ""display_value"": ""31.02 s""}]",add,2,"{""headers"": [""Sector 1 time"", ""Sector 3 time"", ""Sector 2 time"", ""Driver"", ""Stop time"", ""Pit-lane time"", ""Penalty time""], ""rows"": [[""36.72 s"", ""29.19 s"", ""32.14 s"", ""Leo"", ""2.62 s"", ""16.38 s"", ""0.63 s""], [""33.29 s"", ""27.28 s"", ""31.02 s"", ""Mina"", ""14.25 s"", ""25.13 s"", ""3.18 s""], [""39.01 s"", ""36.06 s"", ""20.13 s"", ""Hana"", ""8.34 s"", ""34.22 s"", ""1.43 s""], [""36.55 s"", ""25.60 s"", ""20.07 s"", ""Lena"", ""1.80 s"", ""20.72 s"", ""4.49 s""], [""33.25 s"", ""31.41 s"", ""26.82 s"", ""Ethan"", ""9.04 s"", ""14.26 s"", ""5.34 s""], [""21.49 s"", ""28.07 s"", ""37.36 s"", ""Emma"", ""2.32 s"", ""28.41 s"", ""2.73 s""]]}"
A-L2-0031,2,cross_row_sum,lab_mass_measurements,What is the combined Initial mass of Sample-H and Sample-A?,"| Sample | Material mass | Initial mass | Dry mass | Wet mass | Final mass |
| --- | --- | --- | --- | --- | --- |
| Sample-D | 44.6 g | 210.1 g | 257.1 g | 185.7 g | 320.3 g |
| Sample-A | 57.1 g | 113.5 g | 131.1 g | 456.0 g | 422.1 g |
| Sample-H | 212.1 g | 449.2 g | 232.2 g | 95.3 g | 127.4 g |
| Sample-K | 206.0 g | 440.0 g | 259.3 g | 36.8 g | 274.7 g |
| Sample-E | 225.9 g | 220.6 g | 275.0 g | 324.0 g | 318.2 g |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Sample | Material mass | Initial mass | Dry mass | Wet mass | Final mass |
| --- | --- | --- | --- | --- | --- |
| Sample-D | 44.6 g | 210.1 g | 257.1 g | 185.7 g | 320.3 g |
| Sample-A | 57.1 g | 113.5 g | 131.1 g | 456.0 g | 422.1 g |
| Sample-H | 212.1 g | 449.2 g | 232.2 g | 95.3 g | 127.4 g |
| Sample-K | 206.0 g | 440.0 g | 259.3 g | 36.8 g | 274.7 g |
| Sample-E | 225.9 g | 220.6 g | 275.0 g | 324.0 g | 318.2 g |

Question: What is the combined Initial mass of Sample-H and Sample-A?",562.7 g,"[{""row_index"": 2, ""column_index"": 2, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-H"", ""column"": ""Initial mass"", ""raw_value"": 449.2, ""display_value"": ""449.2 g""}, {""row_index"": 1, ""column_index"": 2, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-A"", ""column"": ""Initial mass"", ""raw_value"": 113.5, ""display_value"": ""113.5 g""}]",add,2,"{""headers"": [""Sample"", ""Material mass"", ""Initial mass"", ""Dry mass"", ""Wet mass"", ""Final mass""], ""rows"": [[""Sample-D"", ""44.6 g"", ""210.1 g"", ""257.1 g"", ""185.7 g"", ""320.3 g""], [""Sample-A"", ""57.1 g"", ""113.5 g"", ""131.1 g"", ""456.0 g"", ""422.1 g""], [""Sample-H"", ""212.1 g"", ""449.2 g"", ""232.2 g"", ""95.3 g"", ""127.4 g""], [""Sample-K"", ""206.0 g"", ""440.0 g"", ""259.3 g"", ""36.8 g"", ""274.7 g""], [""Sample-E"", ""225.9 g"", ""220.6 g"", ""275.0 g"", ""324.0 g"", ""318.2 g""]]}"
A-L2-0032,2,same_row_difference,battery_energy,Find the absolute difference between Cell-E2's Discharge energy and Auxiliary energy.,"| Cell | Auxiliary energy | Evening energy | Discharge energy |
| --- | --- | --- | --- |
| Cell-D2 | 3.35 kWh | 7.92 kWh | 2.91 kWh |
| Cell-C1 | 2.16 kWh | 2.24 kWh | 9.78 kWh |
| Cell-E2 | 1.95 kWh | 2.69 kWh | 5.42 kWh |
| Cell-E1 | 4.63 kWh | 4.96 kWh | 11.89 kWh |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Cell | Auxiliary energy | Evening energy | Discharge energy |
| --- | --- | --- | --- |
| Cell-D2 | 3.35 kWh | 7.92 kWh | 2.91 kWh |
| Cell-C1 | 2.16 kWh | 2.24 kWh | 9.78 kWh |
| Cell-E2 | 1.95 kWh | 2.69 kWh | 5.42 kWh |
| Cell-E1 | 4.63 kWh | 4.96 kWh | 11.89 kWh |

Question: Find the absolute difference between Cell-E2's Discharge energy and Auxiliary energy.",3.47 kWh,"[{""row_index"": 2, ""column_index"": 3, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-E2"", ""column"": ""Discharge energy"", ""raw_value"": 5.42, ""display_value"": ""5.42 kWh""}, {""row_index"": 2, ""column_index"": 1, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-E2"", ""column"": ""Auxiliary energy"", ""raw_value"": 1.95, ""display_value"": ""1.95 kWh""}]",absolute_difference,2,"{""headers"": [""Cell"", ""Auxiliary energy"", ""Evening energy"", ""Discharge energy""], ""rows"": [[""Cell-D2"", ""3.35 kWh"", ""7.92 kWh"", ""2.91 kWh""], [""Cell-C1"", ""2.16 kWh"", ""2.24 kWh"", ""9.78 kWh""], [""Cell-E2"", ""1.95 kWh"", ""2.69 kWh"", ""5.42 kWh""], [""Cell-E1"", ""4.63 kWh"", ""4.96 kWh"", ""11.89 kWh""]]}"
A-L2-0033,2,same_row_sum,hiking_route,"According to the table, what is the combined value of Forest distance and Ridge distance for Lena?","| Morning distance | Ridge distance | Hiker | Forest distance | Uphill distance |
| --- | --- | --- | --- | --- |
| 9.5 km | 12.9 km | Lucas | 14.0 km | 4.1 km |
| 2.0 km | 9.3 km | Lena | 5.4 km | 3.8 km |
| 9.9 km | 6.2 km | Daniel | 9.7 km | 4.9 km |
| 9.8 km | 5.8 km | Leo | 1.9 km | 10.6 km |
| 6.7 km | 12.0 km | Alex | 14.9 km | 11.5 km |
| 11.8 km | 10.4 km | Ryan | 5.7 km | 3.8 km |
| 6.0 km | 7.3 km | Emma | 1.8 km | 1.8 km |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Morning distance | Ridge distance | Hiker | Forest distance | Uphill distance |
| --- | --- | --- | --- | --- |
| 9.5 km | 12.9 km | Lucas | 14.0 km | 4.1 km |
| 2.0 km | 9.3 km | Lena | 5.4 km | 3.8 km |
| 9.9 km | 6.2 km | Daniel | 9.7 km | 4.9 km |
| 9.8 km | 5.8 km | Leo | 1.9 km | 10.6 km |
| 6.7 km | 12.0 km | Alex | 14.9 km | 11.5 km |
| 11.8 km | 10.4 km | Ryan | 5.7 km | 3.8 km |
| 6.0 km | 7.3 km | Emma | 1.8 km | 1.8 km |

Question: According to the table, what is the combined value of Forest distance and Ridge distance for Lena?",14.7 km,"[{""row_index"": 1, ""column_index"": 3, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Lena"", ""column"": ""Forest distance"", ""raw_value"": 5.4, ""display_value"": ""5.4 km""}, {""row_index"": 1, ""column_index"": 1, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Lena"", ""column"": ""Ridge distance"", ""raw_value"": 9.3, ""display_value"": ""9.3 km""}]",add,2,"{""headers"": [""Morning distance"", ""Ridge distance"", ""Hiker"", ""Forest distance"", ""Uphill distance""], ""rows"": [[""9.5 km"", ""12.9 km"", ""Lucas"", ""14.0 km"", ""4.1 km""], [""2.0 km"", ""9.3 km"", ""Lena"", ""5.4 km"", ""3.8 km""], [""9.9 km"", ""6.2 km"", ""Daniel"", ""9.7 km"", ""4.9 km""], [""9.8 km"", ""5.8 km"", ""Leo"", ""1.9 km"", ""10.6 km""], [""6.7 km"", ""12.0 km"", ""Alex"", ""14.9 km"", ""11.5 km""], [""11.8 km"", ""10.4 km"", ""Ryan"", ""5.7 km"", ""3.8 km""], [""6.0 km"", ""7.3 km"", ""Emma"", ""1.8 km"", ""1.8 km""]]}"
A-L2-0034,2,same_row_sum,lab_mass_measurements,"For Sample-D, what is Dry mass plus Container mass?","| Dry mass | Initial mass | Container mass | Sample | Wet mass |
| --- | --- | --- | --- | --- |
| 80.7 g | 189.1 g | 40.4 g | Sample-L | 408.0 g |
| 198.0 g | 346.4 g | 107.6 g | Sample-I | 299.6 g |
| 137.1 g | 196.5 g | 58.5 g | Sample-D | 169.4 g |
| 28.5 g | 298.7 g | 116.5 g | Sample-B | 162.4 g |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Dry mass | Initial mass | Container mass | Sample | Wet mass |
| --- | --- | --- | --- | --- |
| 80.7 g | 189.1 g | 40.4 g | Sample-L | 408.0 g |
| 198.0 g | 346.4 g | 107.6 g | Sample-I | 299.6 g |
| 137.1 g | 196.5 g | 58.5 g | Sample-D | 169.4 g |
| 28.5 g | 298.7 g | 116.5 g | Sample-B | 162.4 g |

Question: For Sample-D, what is Dry mass plus Container mass?",195.6 g,"[{""row_index"": 2, ""column_index"": 0, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-D"", ""column"": ""Dry mass"", ""raw_value"": 137.1, ""display_value"": ""137.1 g""}, {""row_index"": 2, ""column_index"": 2, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-D"", ""column"": ""Container mass"", ""raw_value"": 58.5, ""display_value"": ""58.5 g""}]",add,2,"{""headers"": [""Dry mass"", ""Initial mass"", ""Container mass"", ""Sample"", ""Wet mass""], ""rows"": [[""80.7 g"", ""189.1 g"", ""40.4 g"", ""Sample-L"", ""408.0 g""], [""198.0 g"", ""346.4 g"", ""107.6 g"", ""Sample-I"", ""299.6 g""], [""137.1 g"", ""196.5 g"", ""58.5 g"", ""Sample-D"", ""169.4 g""], [""28.5 g"", ""298.7 g"", ""116.5 g"", ""Sample-B"", ""162.4 g""]]}"
A-L2-0035,2,cross_row_difference,battery_energy,Find the absolute difference between the Morning energy values of Cell-A1 and Cell-F1.,"| Cell | Discharge energy | Charge energy | Afternoon energy | Morning energy | Evening energy | Auxiliary energy |
| --- | --- | --- | --- | --- | --- | --- |
| Cell-D1 | 4.38 kWh | 0.53 kWh | 2.56 kWh | 6.23 kWh | 5.08 kWh | 4.31 kWh |
| Cell-B1 | 6.78 kWh | 3.41 kWh | 5.29 kWh | 3.89 kWh | 5.93 kWh | 2.87 kWh |
| Cell-D2 | 5.29 kWh | 2.79 kWh | 0.98 kWh | 0.23 kWh | 7.87 kWh | 2.29 kWh |
| Cell-E1 | 6.88 kWh | 5.10 kWh | 7.23 kWh | 3.23 kWh | 4.22 kWh | 1.69 kWh |
| Cell-C2 | 0.96 kWh | 4.19 kWh | 7.63 kWh | 4.13 kWh | 2.44 kWh | 3.93 kWh |
| Cell-A1 | 7.31 kWh | 3.21 kWh | 7.46 kWh | 3.47 kWh | 5.30 kWh | 3.28 kWh |
| Cell-F1 | 8.93 kWh | 5.85 kWh | 1.50 kWh | 1.19 kWh | 1.37 kWh | 4.44 kWh |
| Cell-E2 | 9.35 kWh | 2.01 kWh | 5.54 kWh | 2.20 kWh | 7.98 kWh | 4.13 kWh |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Cell | Discharge energy | Charge energy | Afternoon energy | Morning energy | Evening energy | Auxiliary energy |
| --- | --- | --- | --- | --- | --- | --- |
| Cell-D1 | 4.38 kWh | 0.53 kWh | 2.56 kWh | 6.23 kWh | 5.08 kWh | 4.31 kWh |
| Cell-B1 | 6.78 kWh | 3.41 kWh | 5.29 kWh | 3.89 kWh | 5.93 kWh | 2.87 kWh |
| Cell-D2 | 5.29 kWh | 2.79 kWh | 0.98 kWh | 0.23 kWh | 7.87 kWh | 2.29 kWh |
| Cell-E1 | 6.88 kWh | 5.10 kWh | 7.23 kWh | 3.23 kWh | 4.22 kWh | 1.69 kWh |
| Cell-C2 | 0.96 kWh | 4.19 kWh | 7.63 kWh | 4.13 kWh | 2.44 kWh | 3.93 kWh |
| Cell-A1 | 7.31 kWh | 3.21 kWh | 7.46 kWh | 3.47 kWh | 5.30 kWh | 3.28 kWh |
| Cell-F1 | 8.93 kWh | 5.85 kWh | 1.50 kWh | 1.19 kWh | 1.37 kWh | 4.44 kWh |
| Cell-E2 | 9.35 kWh | 2.01 kWh | 5.54 kWh | 2.20 kWh | 7.98 kWh | 4.13 kWh |

Question: Find the absolute difference between the Morning energy values of Cell-A1 and Cell-F1.",2.28 kWh,"[{""row_index"": 5, ""column_index"": 4, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-A1"", ""column"": ""Morning energy"", ""raw_value"": 3.47, ""display_value"": ""3.47 kWh""}, {""row_index"": 6, ""column_index"": 4, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-F1"", ""column"": ""Morning energy"", ""raw_value"": 1.19, ""display_value"": ""1.19 kWh""}]",absolute_difference,2,"{""headers"": [""Cell"", ""Discharge energy"", ""Charge energy"", ""Afternoon energy"", ""Morning energy"", ""Evening energy"", ""Auxiliary energy""], ""rows"": [[""Cell-D1"", ""4.38 kWh"", ""0.53 kWh"", ""2.56 kWh"", ""6.23 kWh"", ""5.08 kWh"", ""4.31 kWh""], [""Cell-B1"", ""6.78 kWh"", ""3.41 kWh"", ""5.29 kWh"", ""3.89 kWh"", ""5.93 kWh"", ""2.87 kWh""], [""Cell-D2"", ""5.29 kWh"", ""2.79 kWh"", ""0.98 kWh"", ""0.23 kWh"", ""7.87 kWh"", ""2.29 kWh""], [""Cell-E1"", ""6.88 kWh"", ""5.10 kWh"", ""7.23 kWh"", ""3.23 kWh"", ""4.22 kWh"", ""1.69 kWh""], [""Cell-C2"", ""0.96 kWh"", ""4.19 kWh"", ""7.63 kWh"", ""4.13 kWh"", ""2.44 kWh"", ""3.93 kWh""], [""Cell-A1"", ""7.31 kWh"", ""3.21 kWh"", ""7.46 kWh"", ""3.47 kWh"", ""5.30 kWh"", ""3.28 kWh""], [""Cell-F1"", ""8.93 kWh"", ""5.85 kWh"", ""1.50 kWh"", ""1.19 kWh"", ""1.37 kWh"", ""4.44 kWh""], [""Cell-E2"", ""9.35 kWh"", ""2.01 kWh"", ""5.54 kWh"", ""2.20 kWh"", ""7.98 kWh"", ""4.13 kWh""]]}"
