id,level,task_type,question,serialized_table,prompt,answer,operation,evidence_json,metadata_json,table_json
A-L5-0041,5,physics_derived_quantity,"Using the table values, calculate the momentum of Chris.","| Elapsed time | Altitude | Speed | Mass | Person |
| --- | --- | --- | --- | --- |
| 36.3 s | 5617 m | 71.5 m/s | 77 kg | Oliver |
| 6.0 s | 2371 m | 61.4 m/s | 63 kg | Chris |
| 65.9 s | 9055 m | 66.9 m/s | 59 kg | Leo |
| 73.8 s | 2799 m | 23.8 m/s | 77 kg | Ava |
| 43.8 s | 5870 m | 57.4 m/s | 47 kg | Iris |
| 17.1 s | 5418 m | 58.0 m/s | 101 kg | Lucas |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Elapsed time | Altitude | Speed | Mass | Person |
| --- | --- | --- | --- | --- |
| 36.3 s | 5617 m | 71.5 m/s | 77 kg | Oliver |
| 6.0 s | 2371 m | 61.4 m/s | 63 kg | Chris |
| 65.9 s | 9055 m | 66.9 m/s | 59 kg | Leo |
| 73.8 s | 2799 m | 23.8 m/s | 77 kg | Ava |
| 43.8 s | 5870 m | 57.4 m/s | 47 kg | Iris |
| 17.1 s | 5418 m | 58.0 m/s | 101 kg | Lucas |

Question: Using the table values, calculate the momentum of Chris.",3868.20 kg·m/s,momentum,"{""target_row"": ""Chris"", ""mass_kg"": 63, ""speed_m_s"": 61.4}","{""quantity"": ""Momentum"", ""answer_digits"": 2}","{""headers"": [""Elapsed time"", ""Altitude"", ""Speed"", ""Mass"", ""Person""], ""rows"": [[""36.3 s"", ""5617 m"", ""71.5 m/s"", ""77 kg"", ""Oliver""], [""6.0 s"", ""2371 m"", ""61.4 m/s"", ""63 kg"", ""Chris""], [""65.9 s"", ""9055 m"", ""66.9 m/s"", ""59 kg"", ""Leo""], [""73.8 s"", ""2799 m"", ""23.8 m/s"", ""77 kg"", ""Ava""], [""43.8 s"", ""5870 m"", ""57.4 m/s"", ""47 kg"", ""Iris""], [""17.1 s"", ""5418 m"", ""58.0 m/s"", ""101 kg"", ""Lucas""]]}"
A-L5-0042,5,bayes_posterior,"For Group-B, compute the posterior probability of having the condition after a positive test.","| False positive rate | Prevalence | Sensitivity | Population |
| --- | --- | --- | --- |
| 21.29% | 35.51% | 96.18% | Group-A |
| 3.06% | 4.04% | 87.91% | Group-E |
| 14.35% | 25.68% | 88.62% | Group-L |
| 29.76% | 14.62% | 92.84% | Group-G |
| 16.43% | 4.51% | 86.46% | Group-B |
| 24.43% | 22.55% | 78.02% | Group-C |
| 5.32% | 3.86% | 77.95% | Group-K |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| False positive rate | Prevalence | Sensitivity | Population |
| --- | --- | --- | --- |
| 21.29% | 35.51% | 96.18% | Group-A |
| 3.06% | 4.04% | 87.91% | Group-E |
| 14.35% | 25.68% | 88.62% | Group-L |
| 29.76% | 14.62% | 92.84% | Group-G |
| 16.43% | 4.51% | 86.46% | Group-B |
| 24.43% | 22.55% | 78.02% | Group-C |
| 5.32% | 3.86% | 77.95% | Group-K |

Question: For Group-B, compute the posterior probability of having the condition after a positive test.",19.91%,bayes_rule,"{""target_row"": ""Group-B"", ""prevalence"": 0.04509689473219172, ""sensitivity"": 0.8645969643993074, ""false_positive_rate"": 0.1642604882798459}","{""formula"": ""sens*prev / (sens*prev + fpr*(1-prev))"", ""answer_digits"": 2}","{""headers"": [""False positive rate"", ""Prevalence"", ""Sensitivity"", ""Population""], ""rows"": [[""21.29%"", ""35.51%"", ""96.18%"", ""Group-A""], [""3.06%"", ""4.04%"", ""87.91%"", ""Group-E""], [""14.35%"", ""25.68%"", ""88.62%"", ""Group-L""], [""29.76%"", ""14.62%"", ""92.84%"", ""Group-G""], [""16.43%"", ""4.51%"", ""86.46%"", ""Group-B""], [""24.43%"", ""22.55%"", ""78.02%"", ""Group-C""], [""5.32%"", ""3.86%"", ""77.95%"", ""Group-K""]]}"
A-L5-0043,5,missing_value_from_average,What is the missing Test 2 score for Alex?,"| Test 1 | Test 3 | Test 2 | Test 4 | Average | Student |
| --- | --- | --- | --- | --- | --- |
| 95 | 43 | 83 | 76 | 74.25 | Ryan |
| 52 | 63 | 61 | 54 | 57.50 | David |
| 42 | 53 | ? | 59 | 55.00 | Alex |
| 97 | 65 | 52 | 63 | 69.25 | Yuna |
| 40 | 62 | 65 | 67 | 58.50 | Sam |
| 97 | 87 | 66 | 67 | 79.25 | Oliver |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Test 1 | Test 3 | Test 2 | Test 4 | Average | Student |
| --- | --- | --- | --- | --- | --- |
| 95 | 43 | 83 | 76 | 74.25 | Ryan |
| 52 | 63 | 61 | 54 | 57.50 | David |
| 42 | 53 | ? | 59 | 55.00 | Alex |
| 97 | 65 | 52 | 63 | 69.25 | Yuna |
| 40 | 62 | 65 | 67 | 58.50 | Sam |
| 97 | 87 | 66 | 67 | 79.25 | Oliver |

Question: What is the missing Test 2 score for Alex?",66,recover_from_average,"{""target_row"": ""Alex"", ""missing_column"": ""Test 2"", ""known_average"": 55.0, ""visible_scores"": {""Test 1"": 42, ""Test 3"": 53, ""Test 4"": 59}}","{""num_scores"": 4, ""score_columns"": [""Test 1"", ""Test 2"", ""Test 3"", ""Test 4""]}","{""headers"": [""Test 1"", ""Test 3"", ""Test 2"", ""Test 4"", ""Average"", ""Student""], ""rows"": [[95, 43, 83, 76, ""74.25"", ""Ryan""], [52, 63, 61, 54, ""57.50"", ""David""], [42, 53, ""?"", 59, ""55.00"", ""Alex""], [97, 65, 52, 63, ""69.25"", ""Yuna""], [40, 62, 65, 67, ""58.50"", ""Sam""], [97, 87, 66, 67, ""79.25"", ""Oliver""]]}"
A-L5-0044,5,physics_derived_quantity,What is Alex's kinetic energy?,"| Altitude | Speed | Person | Elapsed time | Mass |
| --- | --- | --- | --- | --- |
| 1452 m | 13.2 m/s | Julia | 37.2 s | 110 kg |
| 6630 m | 53.6 m/s | Leo | 11.0 s | 82 kg |
| 6739 m | 57.9 m/s | Jisoo | 3.7 s | 110 kg |
| 6973 m | 7.0 m/s | Hana | 18.1 s | 88 kg |
| 802 m | 55.7 m/s | Oliver | 23.0 s | 87 kg |
| 5323 m | 44.0 m/s | Alex | 63.3 s | 95 kg |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Altitude | Speed | Person | Elapsed time | Mass |
| --- | --- | --- | --- | --- |
| 1452 m | 13.2 m/s | Julia | 37.2 s | 110 kg |
| 6630 m | 53.6 m/s | Leo | 11.0 s | 82 kg |
| 6739 m | 57.9 m/s | Jisoo | 3.7 s | 110 kg |
| 6973 m | 7.0 m/s | Hana | 18.1 s | 88 kg |
| 802 m | 55.7 m/s | Oliver | 23.0 s | 87 kg |
| 5323 m | 44.0 m/s | Alex | 63.3 s | 95 kg |

Question: What is Alex's kinetic energy?",91960.00 J,kinetic_energy,"{""target_row"": ""Alex"", ""mass_kg"": 95, ""speed_m_s"": 44.0}","{""quantity"": ""Kinetic energy"", ""answer_digits"": 2}","{""headers"": [""Altitude"", ""Speed"", ""Person"", ""Elapsed time"", ""Mass""], ""rows"": [[""1452 m"", ""13.2 m/s"", ""Julia"", ""37.2 s"", ""110 kg""], [""6630 m"", ""53.6 m/s"", ""Leo"", ""11.0 s"", ""82 kg""], [""6739 m"", ""57.9 m/s"", ""Jisoo"", ""3.7 s"", ""110 kg""], [""6973 m"", ""7.0 m/s"", ""Hana"", ""18.1 s"", ""88 kg""], [""802 m"", ""55.7 m/s"", ""Oliver"", ""23.0 s"", ""87 kg""], [""5323 m"", ""44.0 m/s"", ""Alex"", ""63.3 s"", ""95 kg""]]}"
A-L5-0045,5,missing_value_from_total,What value is missing for Sample-F in Part B?,"| Part B | Sample | Total | Part C | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| 21 | Sample-C | 174 | 14 | 102 | 37 |
| ? | Sample-F | 182 | 46 | 21 | 15 |
| 38 | Sample-L | 248 | 85 | 95 | 30 |
| 75 | Sample-J | 232 | 80 | 14 | 63 |
| 88 | Sample-G | 395 | 92 | 106 | 109 |
| 37 | Sample-A | 195 | 32 | 90 | 36 |
| 13 | Sample-I | 172 | 52 | 36 | 71 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part B | Sample | Total | Part C | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| 21 | Sample-C | 174 | 14 | 102 | 37 |
| ? | Sample-F | 182 | 46 | 21 | 15 |
| 38 | Sample-L | 248 | 85 | 95 | 30 |
| 75 | Sample-J | 232 | 80 | 14 | 63 |
| 88 | Sample-G | 395 | 92 | 106 | 109 |
| 37 | Sample-A | 195 | 32 | 90 | 36 |
| 13 | Sample-I | 172 | 52 | 36 | 71 |

Question: What value is missing for Sample-F in Part B?",100,recover_from_total,"{""target_row"": ""Sample-F"", ""missing_column"": ""Part B"", ""known_total"": 182, ""visible_components"": {""Part A"": 21, ""Part C"": 46, ""Part D"": 15}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part B"", ""Sample"", ""Total"", ""Part C"", ""Part A"", ""Part D""], ""rows"": [[21, ""Sample-C"", 174, 14, 102, 37], [""?"", ""Sample-F"", 182, 46, 21, 15], [38, ""Sample-L"", 248, 85, 95, 30], [75, ""Sample-J"", 232, 80, 14, 63], [88, ""Sample-G"", 395, 92, 106, 109], [37, ""Sample-A"", 195, 32, 90, 36], [13, ""Sample-I"", 172, 52, 36, 71]]}"
A-L5-0046,5,confusion_matrix_metric,"Using the confusion-matrix counts, calculate Nimbus's Recall.","| TP | TN | FN | FP | Model |
| --- | --- | --- | --- | --- |
| 193 | 216 | 85 | 67 | Nimbus |
| 94 | 398 | 85 | 128 | Aurora |
| 300 | 117 | 58 | 47 | Nova |
| 199 | 457 | 88 | 125 | Pulse |
| 387 | 139 | 141 | 30 | Helix |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| TP | TN | FN | FP | Model |
| --- | --- | --- | --- | --- |
| 193 | 216 | 85 | 67 | Nimbus |
| 94 | 398 | 85 | 128 | Aurora |
| 300 | 117 | 58 | 47 | Nova |
| 199 | 457 | 88 | 125 | Pulse |
| 387 | 139 | 141 | 30 | Helix |

Question: Using the confusion-matrix counts, calculate Nimbus's Recall.",0.6942,recall,"{""target_row"": ""Nimbus"", ""TP"": 193, ""FP"": 67, ""FN"": 85, ""TN"": 216}","{""metric"": ""Recall"", ""answer_digits"": 4}","{""headers"": [""TP"", ""TN"", ""FN"", ""FP"", ""Model""], ""rows"": [[193, 216, 85, 67, ""Nimbus""], [94, 398, 85, 128, ""Aurora""], [300, 117, 58, 47, ""Nova""], [199, 457, 88, 125, ""Pulse""], [387, 139, 141, 30, ""Helix""]]}"
A-L5-0047,5,physics_derived_quantity,"Using the table values, calculate the momentum of Chris.","| Mass | Person | Altitude | Elapsed time | Speed |
| --- | --- | --- | --- | --- |
| 99 kg | Hana | 6604 m | 105.8 s | 42.1 m/s |
| 109 kg | Chris | 1643 m | 98.0 s | 40.0 m/s |
| 96 kg | Lena | 6668 m | 23.3 s | 75.2 m/s |
| 92 kg | Theo | 8102 m | 9.0 s | 21.0 m/s |
| 50 kg | Maya | 5946 m | 58.9 s | 57.9 m/s |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Mass | Person | Altitude | Elapsed time | Speed |
| --- | --- | --- | --- | --- |
| 99 kg | Hana | 6604 m | 105.8 s | 42.1 m/s |
| 109 kg | Chris | 1643 m | 98.0 s | 40.0 m/s |
| 96 kg | Lena | 6668 m | 23.3 s | 75.2 m/s |
| 92 kg | Theo | 8102 m | 9.0 s | 21.0 m/s |
| 50 kg | Maya | 5946 m | 58.9 s | 57.9 m/s |

Question: Using the table values, calculate the momentum of Chris.",4360.00 kg·m/s,momentum,"{""target_row"": ""Chris"", ""mass_kg"": 109, ""speed_m_s"": 40.0}","{""quantity"": ""Momentum"", ""answer_digits"": 2}","{""headers"": [""Mass"", ""Person"", ""Altitude"", ""Elapsed time"", ""Speed""], ""rows"": [[""99 kg"", ""Hana"", ""6604 m"", ""105.8 s"", ""42.1 m/s""], [""109 kg"", ""Chris"", ""1643 m"", ""98.0 s"", ""40.0 m/s""], [""96 kg"", ""Lena"", ""6668 m"", ""23.3 s"", ""75.2 m/s""], [""92 kg"", ""Theo"", ""8102 m"", ""9.0 s"", ""21.0 m/s""], [""50 kg"", ""Maya"", ""5946 m"", ""58.9 s"", ""57.9 m/s""]]}"
A-L5-0048,5,missing_value_from_total,Recover the hidden Part A value for Sample-A.,"| Part C | Total | Part D | Part B | Part A | Sample |
| --- | --- | --- | --- | --- | --- |
| 95 | 360 | 84 | 110 | 71 | Sample-L |
| 52 | 257 | 15 | 101 | 89 | Sample-F |
| 62 | 236 | 37 | 108 | 29 | Sample-K |
| 45 | 216 | 119 | 26 | 26 | Sample-B |
| 46 | 185 | 37 | 72 | 30 | Sample-C |
| 104 | 352 | 97 | 120 | ? | Sample-A |
| 57 | 249 | 93 | 13 | 86 | Sample-J |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part C | Total | Part D | Part B | Part A | Sample |
| --- | --- | --- | --- | --- | --- |
| 95 | 360 | 84 | 110 | 71 | Sample-L |
| 52 | 257 | 15 | 101 | 89 | Sample-F |
| 62 | 236 | 37 | 108 | 29 | Sample-K |
| 45 | 216 | 119 | 26 | 26 | Sample-B |
| 46 | 185 | 37 | 72 | 30 | Sample-C |
| 104 | 352 | 97 | 120 | ? | Sample-A |
| 57 | 249 | 93 | 13 | 86 | Sample-J |

Question: Recover the hidden Part A value for Sample-A.",31,recover_from_total,"{""target_row"": ""Sample-A"", ""missing_column"": ""Part A"", ""known_total"": 352, ""visible_components"": {""Part B"": 120, ""Part C"": 104, ""Part D"": 97}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part C"", ""Total"", ""Part D"", ""Part B"", ""Part A"", ""Sample""], ""rows"": [[95, 360, 84, 110, 71, ""Sample-L""], [52, 257, 15, 101, 89, ""Sample-F""], [62, 236, 37, 108, 29, ""Sample-K""], [45, 216, 119, 26, 26, ""Sample-B""], [46, 185, 37, 72, 30, ""Sample-C""], [104, 352, 97, 120, ""?"", ""Sample-A""], [57, 249, 93, 13, 86, ""Sample-J""]]}"
A-L5-0049,5,physics_derived_quantity,What is Ava's momentum?,"| Speed | Elapsed time | Mass | Person | Altitude |
| --- | --- | --- | --- | --- |
| 37.4 m/s | 13.7 s | 53 kg | Emma | 3328 m |
| 58.0 m/s | 10.2 s | 60 kg | Yuna | 4870 m |
| 26.4 m/s | 37.9 s | 95 kg | Chris | 9249 m |
| 37.3 m/s | 21.3 s | 95 kg | Alex | 2077 m |
| 42.2 m/s | 117.5 s | 55 kg | Sofia | 6844 m |
| 26.1 m/s | 6.8 s | 79 kg | Jisoo | 3894 m |
| 10.7 m/s | 67.2 s | 74 kg | Ava | 7583 m |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Speed | Elapsed time | Mass | Person | Altitude |
| --- | --- | --- | --- | --- |
| 37.4 m/s | 13.7 s | 53 kg | Emma | 3328 m |
| 58.0 m/s | 10.2 s | 60 kg | Yuna | 4870 m |
| 26.4 m/s | 37.9 s | 95 kg | Chris | 9249 m |
| 37.3 m/s | 21.3 s | 95 kg | Alex | 2077 m |
| 42.2 m/s | 117.5 s | 55 kg | Sofia | 6844 m |
| 26.1 m/s | 6.8 s | 79 kg | Jisoo | 3894 m |
| 10.7 m/s | 67.2 s | 74 kg | Ava | 7583 m |

Question: What is Ava's momentum?",791.80 kg·m/s,momentum,"{""target_row"": ""Ava"", ""mass_kg"": 74, ""speed_m_s"": 10.7}","{""quantity"": ""Momentum"", ""answer_digits"": 2}","{""headers"": [""Speed"", ""Elapsed time"", ""Mass"", ""Person"", ""Altitude""], ""rows"": [[""37.4 m/s"", ""13.7 s"", ""53 kg"", ""Emma"", ""3328 m""], [""58.0 m/s"", ""10.2 s"", ""60 kg"", ""Yuna"", ""4870 m""], [""26.4 m/s"", ""37.9 s"", ""95 kg"", ""Chris"", ""9249 m""], [""37.3 m/s"", ""21.3 s"", ""95 kg"", ""Alex"", ""2077 m""], [""42.2 m/s"", ""117.5 s"", ""55 kg"", ""Sofia"", ""6844 m""], [""26.1 m/s"", ""6.8 s"", ""79 kg"", ""Jisoo"", ""3894 m""], [""10.7 m/s"", ""67.2 s"", ""74 kg"", ""Ava"", ""7583 m""]]}"
A-L5-0050,5,missing_value_from_average,Recover Sofia's hidden Test 4 value using the average.,"| Test 4 | Test 1 | Test 3 | Test 2 | Average | Student |
| --- | --- | --- | --- | --- | --- |
| ? | 89 | 64 | 83 | 84.00 | Sofia |
| 98 | 99 | 62 | 84 | 85.75 | Ryan |
| 69 | 41 | 86 | 73 | 67.25 | Lucas |
| 46 | 67 | 76 | 58 | 61.75 | Daniel |
| 46 | 71 | 87 | 94 | 74.50 | Oliver |
| 86 | 49 | 60 | 79 | 68.50 | Emma |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Test 4 | Test 1 | Test 3 | Test 2 | Average | Student |
| --- | --- | --- | --- | --- | --- |
| ? | 89 | 64 | 83 | 84.00 | Sofia |
| 98 | 99 | 62 | 84 | 85.75 | Ryan |
| 69 | 41 | 86 | 73 | 67.25 | Lucas |
| 46 | 67 | 76 | 58 | 61.75 | Daniel |
| 46 | 71 | 87 | 94 | 74.50 | Oliver |
| 86 | 49 | 60 | 79 | 68.50 | Emma |

Question: Recover Sofia's hidden Test 4 value using the average.",100,recover_from_average,"{""target_row"": ""Sofia"", ""missing_column"": ""Test 4"", ""known_average"": 84.0, ""visible_scores"": {""Test 1"": 89, ""Test 2"": 83, ""Test 3"": 64}}","{""num_scores"": 4, ""score_columns"": [""Test 1"", ""Test 2"", ""Test 3"", ""Test 4""]}","{""headers"": [""Test 4"", ""Test 1"", ""Test 3"", ""Test 2"", ""Average"", ""Student""], ""rows"": [[""?"", 89, 64, 83, ""84.00"", ""Sofia""], [98, 99, 62, 84, ""85.75"", ""Ryan""], [69, 41, 86, 73, ""67.25"", ""Lucas""], [46, 67, 76, 58, ""61.75"", ""Daniel""], [46, 71, 87, 94, ""74.50"", ""Oliver""], [86, 49, 60, 79, ""68.50"", ""Emma""]]}"
A-L5-0051,5,missing_value_from_average,The Test 3 score for Yuna is missing. What value belongs there?,"| Test 2 | Test 1 | Average | Student | Test 4 | Test 3 |
| --- | --- | --- | --- | --- | --- |
| 93 | 49 | 78.75 | Hana | 84 | 89 |
| 42 | 76 | 70.00 | Yuna | 96 | ? |
| 81 | 84 | 80.50 | Emma | 91 | 66 |
| 93 | 59 | 69.50 | Noah | 82 | 44 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Test 2 | Test 1 | Average | Student | Test 4 | Test 3 |
| --- | --- | --- | --- | --- | --- |
| 93 | 49 | 78.75 | Hana | 84 | 89 |
| 42 | 76 | 70.00 | Yuna | 96 | ? |
| 81 | 84 | 80.50 | Emma | 91 | 66 |
| 93 | 59 | 69.50 | Noah | 82 | 44 |

Question: The Test 3 score for Yuna is missing. What value belongs there?",66,recover_from_average,"{""target_row"": ""Yuna"", ""missing_column"": ""Test 3"", ""known_average"": 70.0, ""visible_scores"": {""Test 1"": 76, ""Test 2"": 42, ""Test 4"": 96}}","{""num_scores"": 4, ""score_columns"": [""Test 1"", ""Test 2"", ""Test 3"", ""Test 4""]}","{""headers"": [""Test 2"", ""Test 1"", ""Average"", ""Student"", ""Test 4"", ""Test 3""], ""rows"": [[93, 49, ""78.75"", ""Hana"", 84, 89], [42, 76, ""70.00"", ""Yuna"", 96, ""?""], [81, 84, ""80.50"", ""Emma"", 91, 66], [93, 59, ""69.50"", ""Noah"", 82, 44]]}"
A-L5-0052,5,missing_value_from_average,Recover Oliver's hidden Test 4 value using the average.,"| Student | Test 1 | Test 3 | Test 4 | Average | Test 2 |
| --- | --- | --- | --- | --- | --- |
| Maya | 91 | 69 | 51 | 67.25 | 58 |
| Oliver | 87 | 44 | ? | 67.25 | 50 |
| Ethan | 41 | 94 | 80 | 72.00 | 73 |
| Daniel | 64 | 51 | 88 | 61.25 | 42 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Student | Test 1 | Test 3 | Test 4 | Average | Test 2 |
| --- | --- | --- | --- | --- | --- |
| Maya | 91 | 69 | 51 | 67.25 | 58 |
| Oliver | 87 | 44 | ? | 67.25 | 50 |
| Ethan | 41 | 94 | 80 | 72.00 | 73 |
| Daniel | 64 | 51 | 88 | 61.25 | 42 |

Question: Recover Oliver's hidden Test 4 value using the average.",88,recover_from_average,"{""target_row"": ""Oliver"", ""missing_column"": ""Test 4"", ""known_average"": 67.25, ""visible_scores"": {""Test 1"": 87, ""Test 2"": 50, ""Test 3"": 44}}","{""num_scores"": 4, ""score_columns"": [""Test 1"", ""Test 2"", ""Test 3"", ""Test 4""]}","{""headers"": [""Student"", ""Test 1"", ""Test 3"", ""Test 4"", ""Average"", ""Test 2""], ""rows"": [[""Maya"", 91, 69, 51, ""67.25"", 58], [""Oliver"", 87, 44, ""?"", ""67.25"", 50], [""Ethan"", 41, 94, 80, ""72.00"", 73], [""Daniel"", 64, 51, 88, ""61.25"", 42]]}"
A-L5-0053,5,bayes_posterior,"Using Bayes' rule, what is P(condition | positive) for Group-H?","| False positive rate | Sensitivity | Prevalence | Population |
| --- | --- | --- | --- |
| 23.75% | 90.28% | 35.41% | Group-I |
| 24.13% | 64.12% | 33.73% | Group-E |
| 5.30% | 94.99% | 8.26% | Group-B |
| 12.73% | 93.25% | 38.77% | Group-H |
| 27.54% | 79.74% | 14.85% | Group-C |
| 27.07% | 84.47% | 44.74% | Group-J |
| 3.01% | 79.17% | 24.89% | Group-F |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| False positive rate | Sensitivity | Prevalence | Population |
| --- | --- | --- | --- |
| 23.75% | 90.28% | 35.41% | Group-I |
| 24.13% | 64.12% | 33.73% | Group-E |
| 5.30% | 94.99% | 8.26% | Group-B |
| 12.73% | 93.25% | 38.77% | Group-H |
| 27.54% | 79.74% | 14.85% | Group-C |
| 27.07% | 84.47% | 44.74% | Group-J |
| 3.01% | 79.17% | 24.89% | Group-F |

Question: Using Bayes' rule, what is P(condition | positive) for Group-H?",82.27%,bayes_rule,"{""target_row"": ""Group-H"", ""prevalence"": 0.38771363368113243, ""sensitivity"": 0.9325104231576636, ""false_positive_rate"": 0.12727820490507086}","{""formula"": ""sens*prev / (sens*prev + fpr*(1-prev))"", ""answer_digits"": 2}","{""headers"": [""False positive rate"", ""Sensitivity"", ""Prevalence"", ""Population""], ""rows"": [[""23.75%"", ""90.28%"", ""35.41%"", ""Group-I""], [""24.13%"", ""64.12%"", ""33.73%"", ""Group-E""], [""5.30%"", ""94.99%"", ""8.26%"", ""Group-B""], [""12.73%"", ""93.25%"", ""38.77%"", ""Group-H""], [""27.54%"", ""79.74%"", ""14.85%"", ""Group-C""], [""27.07%"", ""84.47%"", ""44.74%"", ""Group-J""], [""3.01%"", ""79.17%"", ""24.89%"", ""Group-F""]]}"
A-L5-0054,5,bayes_posterior,"Using Bayes' rule, what is P(condition | positive) for Group-G?","| Sensitivity | Prevalence | False positive rate | Population |
| --- | --- | --- | --- |
| 97.37% | 16.90% | 23.52% | Group-F |
| 65.32% | 8.74% | 22.04% | Group-G |
| 78.15% | 29.50% | 17.03% | Group-A |
| 74.46% | 35.08% | 28.31% | Group-H |
| 95.23% | 13.15% | 3.18% | Group-J |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Sensitivity | Prevalence | False positive rate | Population |
| --- | --- | --- | --- |
| 97.37% | 16.90% | 23.52% | Group-F |
| 65.32% | 8.74% | 22.04% | Group-G |
| 78.15% | 29.50% | 17.03% | Group-A |
| 74.46% | 35.08% | 28.31% | Group-H |
| 95.23% | 13.15% | 3.18% | Group-J |

Question: Using Bayes' rule, what is P(condition | positive) for Group-G?",22.11%,bayes_rule,"{""target_row"": ""Group-G"", ""prevalence"": 0.08743845680458467, ""sensitivity"": 0.6531672349443328, ""false_positive_rate"": 0.22041584623358298}","{""formula"": ""sens*prev / (sens*prev + fpr*(1-prev))"", ""answer_digits"": 2}","{""headers"": [""Sensitivity"", ""Prevalence"", ""False positive rate"", ""Population""], ""rows"": [[""97.37%"", ""16.90%"", ""23.52%"", ""Group-F""], [""65.32%"", ""8.74%"", ""22.04%"", ""Group-G""], [""78.15%"", ""29.50%"", ""17.03%"", ""Group-A""], [""74.46%"", ""35.08%"", ""28.31%"", ""Group-H""], [""95.23%"", ""13.15%"", ""3.18%"", ""Group-J""]]}"
A-L5-0055,5,missing_value_from_total,What value is missing for Sample-A in Part B?,"| Part A | Part B | Total | Part D | Sample | Part C |
| --- | --- | --- | --- | --- | --- |
| 18 | 13 | 190 | 100 | Sample-J | 59 |
| 93 | 47 | 254 | 49 | Sample-D | 65 |
| 16 | 15 | 93 | 24 | Sample-I | 38 |
| 84 | 110 | 324 | 113 | Sample-C | 17 |
| 75 | ? | 191 | 42 | Sample-A | 57 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part A | Part B | Total | Part D | Sample | Part C |
| --- | --- | --- | --- | --- | --- |
| 18 | 13 | 190 | 100 | Sample-J | 59 |
| 93 | 47 | 254 | 49 | Sample-D | 65 |
| 16 | 15 | 93 | 24 | Sample-I | 38 |
| 84 | 110 | 324 | 113 | Sample-C | 17 |
| 75 | ? | 191 | 42 | Sample-A | 57 |

Question: What value is missing for Sample-A in Part B?",17,recover_from_total,"{""target_row"": ""Sample-A"", ""missing_column"": ""Part B"", ""known_total"": 191, ""visible_components"": {""Part A"": 75, ""Part C"": 57, ""Part D"": 42}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part A"", ""Part B"", ""Total"", ""Part D"", ""Sample"", ""Part C""], ""rows"": [[18, 13, 190, 100, ""Sample-J"", 59], [93, 47, 254, 49, ""Sample-D"", 65], [16, 15, 93, 24, ""Sample-I"", 38], [84, 110, 324, 113, ""Sample-C"", 17], [75, ""?"", 191, 42, ""Sample-A"", 57]]}"
A-L5-0056,5,confusion_matrix_metric,"According to the table, compute the Accuracy of model Aurora.","| TN | TP | Model | FN | FP |
| --- | --- | --- | --- | --- |
| 215 | 377 | Pulse | 29 | 20 |
| 138 | 301 | Helix | 146 | 113 |
| 167 | 329 | Zenith | 48 | 12 |
| 491 | 324 | Aurora | 123 | 43 |
| 253 | 213 | Sigma | 67 | 113 |
| 275 | 339 | Vertex | 139 | 61 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| TN | TP | Model | FN | FP |
| --- | --- | --- | --- | --- |
| 215 | 377 | Pulse | 29 | 20 |
| 138 | 301 | Helix | 146 | 113 |
| 167 | 329 | Zenith | 48 | 12 |
| 491 | 324 | Aurora | 123 | 43 |
| 253 | 213 | Sigma | 67 | 113 |
| 275 | 339 | Vertex | 139 | 61 |

Question: According to the table, compute the Accuracy of model Aurora.",0.8308,accuracy,"{""target_row"": ""Aurora"", ""TP"": 324, ""FP"": 43, ""FN"": 123, ""TN"": 491}","{""metric"": ""Accuracy"", ""answer_digits"": 4}","{""headers"": [""TN"", ""TP"", ""Model"", ""FN"", ""FP""], ""rows"": [[215, 377, ""Pulse"", 29, 20], [138, 301, ""Helix"", 146, 113], [167, 329, ""Zenith"", 48, 12], [491, 324, ""Aurora"", 123, 43], [253, 213, ""Sigma"", 67, 113], [275, 339, ""Vertex"", 139, 61]]}"
